Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-08-27,Neon Maniacs,1986,https://boxd.it/1jXMed,2.5,,"Basically Stranger Things, but the kids are horror fans and the monsters are... well, we never find out. The movie is functionally incomplete, brought to a halt by budget concerns, so the movie does not have a satisfying ending, and leaves some questions unanswered. Despite this, it has its charms. Enjoy the weird blend of 80s zombie gore and teen movie tropes",Slasher,2020-08-26
2020-08-27,Land Without Bread,1933,https://boxd.it/1jZjIx,,,Everything I read about this is as contradictory as the film itself. I have no idea how to feel about this,,2020-08-26
2020-08-28,Valley Girl,1983,https://boxd.it/1k5Vz1,3.5,,"Before there was John Hughes, there was Martha Coolidge","teensploitation, directed by women, edited by women, coming-of-age",2020-08-27
2020-09-02,Raw,2016,https://boxd.it/1kDKWB,4.5,,Fuckkkkkkkk,"written by women, directed by women, coming-of-age, good for her, cannibal, body horror, switchblade sisters",2020-09-01
2020-09-05,Mamma Mia! Here We Go Again,2018,https://boxd.it/1kV8bX,3.5,,"I cannot tell if the emotional moments land for me or if I just love ABBA. Regardless, I cried, so you win movie",adam,2020-09-04
2020-09-08,The Room,2019,https://boxd.it/1lh305,3.5,,"The acting isn’t great, the choices characters make are mostly nonsense. However, the story just goes for it, the conceit is compelling, and the set design is cool",,2020-09-07
2020-09-11,Blood Simple,1984,https://boxd.it/1lAU2V,4.5,Yes,"First Coen film, first Barry Sonnenfeld film, first Frances McDormand film. This movie is so effortless, right out of the gate. A little slow at points, but the major sequences are tense and thrilling",hicksploitation,2020-09-10
2020-09-18,Spiral,2019,https://boxd.it/1miPON,3.5,,"“People don’t change, they just get better at hiding how they feel”. Jeffrey Bowyer-Chapman does a great job with what he’s been given",,2020-09-17
2020-09-19,Still/Born,2017,https://boxd.it/1mqLPX,2,,The baby looks older than the main couple,,2020-09-18
2020-09-20,Mr. & Mrs. Smith,2005,https://boxd.it/1mvWsl,3,,"Hot people, action that tells a story, it’s just too long","adam, caffie",2020-09-19
2020-09-23,Code 46,2003,https://boxd.it/1mPWyX,3,,"Some cool ideas, some peculiar ones...  the narration kind of ruins it in places. I’m curious if the intent is to be transgressive or make some political statement, it gets muddled through the the overarching narrative of a dude thoroughly ruining someone’s life",,2020-09-22
2020-09-24,Mortuary,1982,https://boxd.it/1mVUZJ,3,,Baby Bill Paxton,Slasher,2020-09-23
2020-09-25,Verotika,2019,https://boxd.it/1n0FBH,1,,"Folks, I don’t think Glen Danzig likes women very much",,2020-09-24
2020-09-26,Creepshow 2,1987,https://boxd.it/1n5Xx9,1.5,,"“I don’t believe in oil slicks, man”","redsploitation, slasher, horror anthology",2020-09-25
2020-09-26,I Lost My Body,2019,https://boxd.it/1n7hkh,2,,"Sad boy fantasy: girl who rejected me (because I’m a stalker) learns that I’m actually a special boy when it’s too late, but some part of me will be there to witness her learning it

“What was I supposed to do? Ask you out?”",,2020-09-25
2020-09-27,Hanzo the Razor: Sword of Justice,1972,https://boxd.it/1ney7X,1.5,,"Samurai cop who loves to torture himself uses his big penis to “interrogate” women and his house full of traps to take out would-be assassins. Complete with blood spray by the gallons, a funky soundtrack, and some inventive cinematography; the movie gets points for being super weird, but not much else. Gen X would call it “misunderstood” or something","samurai, Sexploitation",2020-09-26
2020-09-30,Daniel Isn't Real,2019,https://boxd.it/1nxudP,2.5,,"edgelord “Drop Dead Fred”, reinforces some worn out and outdated stigmas around mental illness, but it has some strong moments",,2020-09-29
2020-10-01,Nightmare Cinema,2018,https://boxd.it/1nBAqD,2,,"The Thing in the Woods: cartoonish sound design, I genuinely couldn’t tell if it was supposed to be funny until 12-13 minutes in... or at least that’s when I laughed. 1/5

Mirari: bad dialogue clearly no women were involved or consulted on the writing, no one’s motivations make sense, but at least it has a perspective. 1.5/5

Mashit: Clearly this director thinks in video game cutscenes, the camera is all over the place and nothing seems connected. I appreciate the idea and the director having fun with it, even if the execution doesn’t really work. 2.5/5

The Way to Egress: Suddenly, the caliber of this whole project amps up and we get an honest-to-god story. Weird, tense, stylish. 4/5

Dead: A little slow and cheesy, not too many surprises here. Once again, nonsense motives. There’s a moment when people are arguing through golden clouds in heaven that made me laugh. 2/5

In-between: Mickey Rourke’s outfit squeaks, and his face is so plastic that it’s hard not to feel like it’s his skin that makes the squeaking sound. Favorite lines of his (because they made me laugh)
- “Welcome to my nightmare”
- “Run! Go, you little motherfucker!”

Overall: I appreciate the effort all around, but I would only recommend one of the shorts and it’s on YouTube, so don’t bother",horror anthology,2020-09-29
2020-10-01,The Lift,1983,https://boxd.it/1nCCkf,2.5,,"“These damned machines will be the death of us all someday.”

This movie spends most of its time discussing affairs or relationships. It also spends a long time explaining the technical details of how elevators work and how microchips work (or at least the writer’s understanding of them)

Oh, and sometimes people die in elevator accidents

Another example of plot getting in the way of the movie, especially because most of it goes nowhere. The climax takes forever to do anything, but it’s pretty fun once it gets going

The “the last guy who had your job went insane” trope applied to elevator repair is pretty funny

The bad dubbing also got some laughs out of me as well",Slasher,2020-09-30
2020-10-01,Psycho,1960,https://boxd.it/1nDcj3,4,Yes,Rewatched this in preparation for reading Robin Wood’s “Psychoanalysis of Psycho” essay,Slasher,2020-09-30
2020-10-02,Scare Me,2020,https://boxd.it/1nHSg9,4.5,,The “My Dinner with Andre” of horror movies,,2020-10-01
2020-10-03,Wake Wood,2009,https://boxd.it/1nOc4T,2,,Every movie could do with a cow c-section,,2020-10-02
2020-10-06,The Mimic,2017,https://boxd.it/1oaDDF,3.5,,Ringu meets Single White Female?,,2020-10-05
2020-10-07,Theatre of Blood,1973,https://boxd.it/1ogseh,4,,I love that the reason critics lambast Price’s character is because “he only does Shakespeare and a great actor honors the present as well as the past”,britsploitation,2020-10-05
